"wavelength","reflectance","feature"
557,1.01512740942355,"NTrZ"
558,1.01395460095224,"NTrZ"
559,1.0127668387208,"NTrZ"
560,1.01157406752683,"NTrZ"
561,1.01038623216795,"NTrZ"
562,1.00921457706879,"NTrZ"
563,1.00807554516206,"NTrZ"
564,1.00698687900748,"NTrZ"
565,1.00596709378319,"NTrZ"
566,1.0050377951409,"NTrZ"
567,1.00422136135074,"NTrZ"
568,1.0035348363842,"NTrZ"
569,1.00297392701823,"NTrZ"
570,1.00252900573111,"NTrZ"
571,1.00218796437424,"NTrZ"
572,1.00192877229133,"NTrZ"
573,1.0017269181992,"NTrZ"
574,1.00156043050396,"NTrZ"
575,1.00141749636899,"NTrZ"
576,1.00128884264697,"NTrZ"
577,1.00116519619058,"NTrZ"
578,1.00103928024235,"NTrZ"
579,1.00091180360416,"NTrZ"
580,1.00078547146776,"NTrZ"
581,1.0006638698261,"NTrZ"
582,1.00055410787699,"NTrZ"
583,1.00046417561942,"NTrZ"
584,1.0004017174661,"NTrZ"
585,1.00037299548444,"NTrZ"
586,1.00038392615557,"NTrZ"
587,1.00043820029709,"NTrZ"
588,1.00053060607263,"NTrZ"
589,1.00065370598232,"NTrZ"
590,1.00079995058246,"NTrZ"
591,1.00096134265408,"NTrZ"
592,1.00112977303436,"NTrZ"
593,1.00129896994532,"NTrZ"
594,1.00147001114823,"NTrZ"
595,1.00164581178917,"NTrZ"
596,1.00182928701421,"NTrZ"
597,1.00202625276391,"NTrZ"
598,1.00225412815669,"NTrZ"
599,1.00253323310544,"NTrZ"
600,1.00288480953715,"NTrZ"
601,1.00333378743531,"NTrZ"
602,1.00390601879746,"NTrZ"
603,1.00462433508607,"NTrZ"
604,1.00549948562309,"NTrZ"
605,1.00653919919534,"NTrZ"
606,1.00775211353849,"NTrZ"
607,1.00915050218351,"NTrZ"
608,1.01074754761019,"NTrZ"
609,1.01255563810388,"NTrZ"
610,1.01458398517198,"NTrZ"
611,1.01684100612745,"NTrZ"
612,1.01929934446817,"NTrZ"
613,1.0217885484318,"NTrZ"
614,1.02410239244091,"NTrZ"
615,1.02603465091811,"NTrZ"
616,1.02740252649795,"NTrZ"
617,1.02811693466294,"NTrZ"
618,1.02811221910755,"NTrZ"
619,1.02736110902959,"NTrZ"
620,1.02598987564023,"NTrZ"
621,1.02416317565393,"NTrZ"
622,1.02203374576699,"NTrZ"
623,1.01970664260294,"NTrZ"
624,1.01727500276714,"NTrZ"
625,1.01482852718972,"NTrZ"
626,1.01244317410005,"NTrZ"
627,1.01019146605228,"NTrZ"
628,1.00814828843125,"NTrZ"
629,1.00639797794452,"NTrZ"
630,1.00502723413031,"NTrZ"
631,1.00412275652686,"NTrZ"
632,1.00375566532815,"NTrZ"
633,1.00393476335115,"NTrZ"
634,1.00465327406858,"NTrZ"
635,1.00589690040437,"NTrZ"
636,1.00762126308723,"NTrZ"
637,1.00977446229708,"NTrZ"
638,1.01228644533209,"NTrZ"
