"wavelength","reflectance","feature"
380,0.960819484951123,"NEB"
381,0.958023271479794,"NEB"
382,0.95524099492791,"NEB"
383,0.952496159710864,"NEB"
384,0.949810581620624,"NEB"
385,0.947199321955461,"NEB"
386,0.94467575339022,"NEB"
387,0.942238892556459,"NEB"
388,0.939830331912583,"NEB"
389,0.937377307873709,"NEB"
390,0.934820181388649,"NEB"
391,0.932151811540978,"NEB"
392,0.92937818194797,"NEB"
393,0.926514022191999,"NEB"
394,0.923609045715873,"NEB"
395,0.920721711927501,"NEB"
396,0.917901702531968,"NEB"
397,0.915163588423038,"NEB"
398,0.912513162791647,"NEB"
399,0.90995621882873,"NEB"
400,0.907497329989691,"NEB"
401,0.905136190787804,"NEB"
402,0.902871276000812,"NEB"
403,0.900698052583702,"NEB"
404,0.898599956200448,"NEB"
405,0.896557414692267,"NEB"
406,0.894551044051667,"NEB"
407,0.892562212876307,"NEB"
408,0.890572477915136,"NEB"
409,0.888570839482189,"NEB"
410,0.88657607215184,"NEB"
411,0.884614394063551,"NEB"
412,0.882712691807867,"NEB"
413,0.880900525779665,"NEB"
414,0.879208124824911,"NEB"
415,0.877655844908936,"NEB"
416,0.87622455047456,"NEB"
417,0.874885233083971,"NEB"
418,0.873608884299358,"NEB"
419,0.872365346228354,"NEB"
420,0.871119863160379,"NEB"
421,0.869836529930295,"NEB"
422,0.868484062882988,"NEB"
423,0.867049664403431,"NEB"
424,0.865525158386619,"NEB"
425,0.863903022737676,"NEB"
426,0.86217835140224,"NEB"
427,0.86034689233608,"NEB"
428,0.85840824019658,"NEB"
429,0.856377376447601,"NEB"
430,0.854273129254618,"NEB"
431,0.852117929345152,"NEB"
432,0.849948617694893,"NEB"
433,0.847805637841577,"NEB"
434,0.845729433322936,"NEB"
435,0.843757123769459,"NEB"
436,0.841912533182654,"NEB"
437,0.840216161656781,"NEB"
438,0.838680369342938,"NEB"
439,0.83728495661956,"NEB"
440,0.836001583921917,"NEB"
441,0.834802139904712,"NEB"
442,0.833659426100385,"NEB"
443,0.832546472260807,"NEB"
444,0.831439799487082,"NEB"
445,0.830329894277241,"NEB"
446,0.829210734478546,"NEB"
447,0.828079393002985,"NEB"
448,0.826945323021464,"NEB"
449,0.825821072769612,"NEB"
450,0.824719309079115,"NEB"
451,0.823653173165869,"NEB"
452,0.822635924841822,"NEB"
453,0.821680823918921,"NEB"
454,0.820797409602567,"NEB"
455,0.819980338671958,"NEB"
456,0.819220547299744,"NEB"
457,0.81850918705819,"NEB"
458,0.817838271118019,"NEB"
459,0.817200028049565,"NEB"
460,0.816587918788057,"NEB"
461,0.816000333728285,"NEB"
462,0.815436895629929,"NEB"
463,0.814897327617972,"NEB"
464,0.814381754278602,"NEB"
465,0.813890400563312,"NEB"
466,0.813425010721498,"NEB"
467,0.812993406194186,"NEB"
468,0.81260492772031,"NEB"
469,0.812268962252504,"NEB"
470,0.8119950815982,"NEB"
471,0.811792903778533,"NEB"
472,0.811672046814639,"NEB"
473,0.811638343191145,"NEB"
474,0.811682483246661,"NEB"
475,0.81179137178329,"NEB"
476,0.8119526394903,"NEB"
477,0.812156820605607,"NEB"
478,0.812395175254292,"NEB"
479,0.812660089908946,"NEB"
480,0.812948456432206,"NEB"
481,0.81325829303422,"NEB"
482,0.81358734988527,"NEB"
483,0.813932304996178,"NEB"
484,0.8142895683379,"NEB"
485,0.814655867774028,"NEB"
486,0.815029202738701,"NEB"
487,0.815407890558693,"NEB"
488,0.815790248560779,"NEB"
489,0.816174976099655,"NEB"
490,0.816562300641702,"NEB"
491,0.81695283168122,"NEB"
492,0.817347362713536,"NEB"
493,0.817747423238075,"NEB"
494,0.818154726755287,"NEB"
495,0.818571566431551,"NEB"
496,0.819002554096974,"NEB"
497,0.819452881247593,"NEB"
498,0.819927547284959,"NEB"
499,0.820430783232688,"NEB"
500,0.820966628019909,"NEB"
501,0.821537703141288,"NEB"
502,0.822140960353628,"NEB"
503,0.822771933979266,"NEB"
504,0.823427139142965,"NEB"
505,0.824107014179189,"NEB"
506,0.824812978224829,"NEB"
507,0.825546450416776,"NEB"
508,0.826309643082888,"NEB"
509,0.827107941314906,"NEB"
510,0.827947523395536,"NEB"
511,0.828835075086425,"NEB"
512,0.82977931206496,"NEB"
513,0.83078945748747,"NEB"
514,0.831872929062926,"NEB"
515,0.833029922710889,"NEB"
516,0.834258828903568,"NEB"
517,0.835553632510692,"NEB"
518,0.836890695992082,"NEB"
519,0.838241976205082,"NEB"
520,0.83957907067229,"NEB"
521,0.840872139577337,"NEB"
522,0.84209098376911,"NEB"
523,0.843214485716973,"NEB"
524,0.844257854372199,"NEB"
525,0.845245380306537,"NEB"
526,0.846201354091736,"NEB"
527,0.847154933000849,"NEB"
528,0.84815474111214,"NEB"
529,0.849254269205177,"NEB"
530,0.850496800750107,"NEB"
531,0.851884789979395,"NEB"
532,0.853410483816084,"NEB"
533,0.855063049920777,"NEB"
534,0.856819338904299,"NEB"
535,0.858653122115035,"NEB"
536,0.860543181380693,"NEB"
537,0.862488340446287,"NEB"
538,0.864492433536157,"NEB"
539,0.866558085492942,"NEB"
540,0.86868308363248,"NEB"
541,0.870864005888909,"NEB"
542,0.873097430196368,"NEB"
543,0.875375577456356,"NEB"
544,0.877673240439828,"NEB"
545,0.879960854885101,"NEB"
546,0.882202085667324,"NEB"
547,0.884333514208971,"NEB"
548,0.886284951069349,"NEB"
549,0.887986776607578,"NEB"
550,0.889371650382037,"NEB"
551,0.89037280175092,"NEB"
552,0.890945134675188,"NEB"
553,0.891130251526876,"NEB"
554,0.890991429280787,"NEB"
555,0.890602555143169,"NEB"
556,0.890079957246044,"NEB"
557,0.88955057395288,"NEB"
558,0.889128794626511,"NEB"
559,0.888878812627237,"NEB"
560,0.888852272314723,"NEB"
561,0.889100818048637,"NEB"
562,0.889657649983905,"NEB"
563,0.890482191456504,"NEB"
564,0.891515421597669,"NEB"
565,0.892702046488287,"NEB"
566,0.894001680007836,"NEB"
567,0.895377662985448,"NEB"
568,0.896797230426757,"NEB"
569,0.89824319404342,"NEB"
570,0.899702259723603,"NEB"
571,0.901163509330454,"NEB"
572,0.902625528627063,"NEB"
573,0.904089279351505,"NEB"
574,0.905555457402247,"NEB"
575,0.907023695319334,"NEB"
576,0.908493359803206,"NEB"
577,0.9099638175543,"NEB"
578,0.911434351189524,"NEB"
579,0.912903906991654,"NEB"
580,0.914371347159937,"NEB"
581,0.915835768098079,"NEB"
582,0.917297203027633,"NEB"
583,0.918755919374614,"NEB"
584,0.920212260531501,"NEB"
585,0.921666873756638,"NEB"
586,0.923120482274836,"NEB"
587,0.924574037977789,"NEB"
588,0.926029407424737,"NEB"
589,0.927488685841803,"NEB"
590,0.928954017335884,"NEB"
591,0.930427741536965,"NEB"
592,0.931912246955801,"NEB"
593,0.933409441335032,"NEB"
594,0.934919309344846,"NEB"
595,0.936441354887314,"NEB"
596,0.937975081864507,"NEB"
597,0.939520163260267,"NEB"
598,0.94107694838552,"NEB"
599,0.942645955632961,"NEB"
600,0.944227502891041,"NEB"
601,0.945821106031228,"NEB"
602,0.947426080420748,"NEB"
603,0.94904048657311,"NEB"
604,0.950657365586958,"NEB"
605,0.952268503707226,"NEB"
606,0.953864019604857,"NEB"
607,0.955427361654836,"NEB"
608,0.956940310658161,"NEB"
609,0.958382548864528,"NEB"
610,0.959725364318425,"NEB"
611,0.960937946513037,"NEB"
612,0.96199837241143,"NEB"
613,0.962920268856183,"NEB"
614,0.963726150159756,"NEB"
615,0.96443853063461,"NEB"
616,0.965085982442833,"NEB"
617,0.965721309145042,"NEB"
618,0.966403372151483,"NEB"
619,0.967182870785129,"NEB"
620,0.96807785601986,"NEB"
621,0.969098216742285,"NEB"
622,0.970247728436261,"NEB"
623,0.971505712974651,"NEB"
624,0.972845378827566,"NEB"
625,0.974240237536219,"NEB"
626,0.975665012926218,"NEB"
627,0.977094731894272,"NEB"
628,0.978506932583459,"NEB"
629,0.979889198122346,"NEB"
630,0.981231622885867,"NEB"
631,0.982524301248959,"NEB"
632,0.983762947755205,"NEB"
633,0.984965757622776,"NEB"
634,0.986156546238489,"NEB"
635,0.987361886749828,"NEB"
636,0.98861938334693,"NEB"
637,0.989969397980599,"NEB"
638,0.991450590819194,"NEB"
639,0.993094814901304,"NEB"
640,0.994932221483071,"NEB"
641,0.996972435438123,"NEB"
642,0.999142976110011,"NEB"
643,1.00135083645977,"NEB"
644,1.00347719379575,"NEB"
645,1.0052999628156,"NEB"
646,1.00657124256427,"NEB"
